service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
195@2,0,0,0,0,0,1,0,20160819,20161119
195@5,0,0,0,0,0,0,0,20160819,20161119
T4@2,0,0,0,0,0,1,0,20160819,20161119
T6@2,0,0,0,0,0,1,0,20160819,20161119
10.7@5,0,0,0,0,0,0,0,20160819,20161119
E6011@1,1,1,1,1,1,0,0,20160819,20161119
187@1,1,1,1,1,1,0,0,20160819,20161119
20.5@1,1,1,1,1,1,0,0,20160819,20161119
179@2,0,0,0,0,0,1,0,20160819,20161119
179@5,0,0,0,0,0,0,0,20160819,20161119
10.5@1,1,1,1,1,1,0,0,20160819,20161119
10.52@2,0,0,0,0,0,1,0,20160819,20161119
T2@2,0,0,0,0,0,1,0,20160819,20161119
T2@5,0,0,0,0,0,0,0,20160819,20161119
10.5@3,0,0,0,0,0,0,1,20160819,20161119
10.51@3,0,0,0,0,0,0,1,20160819,20161119
20.11@1,1,1,1,1,1,0,0,20160819,20161119
A15@2,0,0,0,0,0,1,0,20160819,20161119
A09@2,0,0,0,0,0,1,0,20160819,20161119
A09@5,0,0,0,0,0,0,0,20160819,20161119
T5@1,1,1,1,1,1,0,0,20160819,20161119
T51@5,0,0,0,0,0,0,0,20160819,20161119
10.6@2,0,0,0,0,0,1,0,20160819,20161119
10.6@5,0,0,0,0,0,0,0,20160819,20161119
T52@3,0,0,0,0,0,0,1,20160819,20161119
A14@3,0,0,0,0,0,0,1,20160819,20161119
T6@5,0,0,0,0,0,0,0,20160819,20161119
A141@3,0,0,0,0,0,0,1,20160819,20161119
10.7@3,0,0,0,0,0,0,1,20160819,20161119
171@2,0,0,0,0,0,1,0,20160819,20161119
E6011@3,0,0,0,0,0,0,1,20160819,20161119
1491@1,1,1,1,1,1,0,0,20160819,20161119
210@3,0,0,0,0,0,0,1,20160819,20161119
110@2,0,0,0,0,0,1,0,20160819,20161119
10.3@3,0,0,0,0,0,0,1,20160819,20161119
C80@2,0,0,0,0,0,1,0,20160819,20161119
10.52@5,0,0,0,0,0,0,0,20160819,20161119
T6@3,0,0,0,0,0,0,1,20160819,20161119
20.2@3,0,0,0,0,0,0,1,20160819,20161119
20.4@1,1,1,1,1,1,0,0,20160819,20161119
2441@5,0,0,0,0,0,0,0,20160819,20161119
1714@1,1,1,1,1,1,0,0,20160819,20161119
2571@2,0,0,0,0,0,1,0,20160819,20161119
2571@5,0,0,0,0,0,0,0,20160819,20161119
20.61@2,0,0,0,0,0,1,0,20160819,20161119
20.61@5,0,0,0,0,0,0,0,20160819,20161119
T9@2,0,0,0,0,0,1,0,20160819,20161119
T9@5,0,0,0,0,0,0,0,20160819,20161119
149@2,0,0,0,0,0,1,0,20160819,20161119
171@3,0,0,0,0,0,0,1,20160819,20161119
171@5,0,0,0,0,0,0,0,20160819,20161119
173@3,0,0,0,0,0,0,1,20160819,20161119
